partition,model,n_fit_external,n_fit_internal,n_eval,n_players,spearman,spearman_lo,spearman_hi,top_k_overlap,median_rank_shift
club_to_national,xt,2534,368,124,194,0.997551084138339,0.9963107897811158,0.9980764801517408,1.0,2.0
club_to_national,vaep,2534,368,124,194,0.9513273863575663,0.9330578658965633,0.9639772175129906,0.85,9.0
national_to_club,xt,492,1901,633,2098,0.9973861437997339,0.9971267341834411,0.9976014770814019,1.0,23.0
national_to_club,vaep,492,1901,633,2098,0.9540670323346864,0.9487905070423654,0.9578682474015018,0.9,85.5
male_to_female,xt,1946,810,270,880,0.9968022122492879,0.9963398067098506,0.9971049562571266,0.95,12.0
male_to_female,vaep,1946,810,270,880,0.955752795510982,0.9486145596809266,0.9623496211169236,0.95,32.5
female_to_male,xt,1080,1459,487,1420,0.9962724513590253,0.995838574512233,0.9965908212048885,0.9,20.0
female_to_male,vaep,1080,1459,487,1420,0.9619129035976552,0.9575966462534408,0.9664501280245317,0.95,54.5
