player_id,player_name,minutes,games,position,pos_group,ga_total,ga_p90,shots_total,shots_p90,volume_total,volume_p90,xt_total,xt_p90,vaep_total,vaep_p90
2936,Christophe Kerbrat,849,9,Right Center Back,DEF,0.0,0.0,1.0,0.10600706713780918,710.0,75.26501766784452,0.6582828681149676,0.06978263619593296,0.5667836020551622,0.060083067355670906
2943,Lucas Deaux,400,6,Left Center Back,DEF,0.0,0.0,2.0,0.45,393.0,88.425,0.23402862700237909,0.05265644107553529,0.16883955741650425,0.03798890041871345
2946,Frédéric Guilbert,691,8,Right Back,DEF,0.0,0.0,5.0,0.6512301013024602,678.0,88.30680173661361,0.36369168165093607,0.047369394136880245,0.45704700010537636,0.059528552835721955
2947,Anthony Lopes,471,5,Goalkeeper,GK,0.0,0.0,0.0,0.0,255.0,48.72611464968153,0.12407190132165206,0.023708006621971735,-0.9030473142338451,-0.17255681163704045
2950,Jonas Martin,502,6,Left Center Midfield,MID,1.0,0.17928286852589642,4.0,0.7171314741035857,728.0,130.5179282868526,0.5155518265571862,0.09242961033893776,0.7365220130549074,0.13204577923295152
2953,Abdou Kader Mangane,333,5,Right Center Back,DEF,0.0,0.0,3.0,0.8108108108108109,200.0,54.054054054054056,0.1271612682534694,0.034367910338775516,0.06422193002072163,0.017357278383978818
2955,Ronny Rodelin,870,11,Right Wing,FWD,3.0,0.3103448275862069,17.0,1.7586206896551724,645.0,66.72413793103449,1.0149089017089308,0.10499057603885491,3.0317171725441003,0.3136259144011138
2959,Julien Féret,994,11,Left Center Midfield,MID,0.0,0.0,9.0,0.8148893360160966,1003.0,90.81488933601608,1.091559239572048,0.09883333155078905,1.2919470752800117,0.11697709937142964
2961,Yann Bodiger,438,9,Center Defensive Midfield,MID,0.0,0.0,4.0,0.821917808219178,632.0,129.86301369863014,0.509427501550641,0.1046768838802687,-0.4349667746751802,-0.0893767345222973
2963,Rémy Vercoutre,1026,11,Goalkeeper,GK,0.0,0.0,0.0,0.0,505.0,44.29824561403509,0.5564516021153496,0.04881154404520611,-0.6379094519361388,-0.055956969468082346
2966,Stéphane Sessègnon,763,9,Right Midfield,MID,2.0,0.23591087811271297,14.0,1.651376146788991,772.0,91.06159895150721,0.9652600033623578,0.11385766750014706,1.7760781820297706,0.20949808175973703
